4:18:4:624:::com.kth.csd.node.executors.KvsOperationExecutorPool:::KvsOperationExecutorPool instatiated!
4:18:4:695:::KvsExecutor:::thread with id 0 instantiated
4:18:22:692:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:699:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:784:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:784:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:784:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:785:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:937:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:962:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:962:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:963:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:963:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:964:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:964:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:965:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:965:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:966:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:967:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:967:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:968:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:968:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:969:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:970:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:971:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:971:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:971:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:975:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:976:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:986:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:22:999:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:2:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:4:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:35:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:72:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:114:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:121:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:126:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:126:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:160:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:164:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:183:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:203:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:209:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:225:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:261:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:264:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:23:278:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
